"filename", "language", "Jupyter", "Python", "Markdown", "CSV", "YAML", "Excel", "Log", "XML", "C++", "C", "comment", "blank", "total"
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\1.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 2, 46
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\10.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\11.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\12.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\13.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 1, 26
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\14.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\15.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\16.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\2.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 34
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\3.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\4.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\5.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\6.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\7.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 4, 48
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\8.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 7, 36
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\fenzhi\9.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\hang_dian_ojoj\2000.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 7, 15
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\px.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 19, 2, 43
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shunxu\1.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shunxu\10.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shunxu\2.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shunxu\3.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shunxu\4.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shunxu\5.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 14, 1, 58
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shunxu\6.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shunxu\7.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shunxu\8.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shunxu\9.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shuzu\1.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shuzu\2.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\shuzu\3.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
