title,author,classes
圣墟,辰东,玄幻
诡秘之主,爱潜水的乌贼,玄幻
大奉打更人,卖报小郎君,仙侠
一念永恒,耳根,仙侠
修真聊天群（聊天群的日常生活）,圣骑士的传说,都市
我师兄实在太稳健了,言归正传,仙侠
万族之劫,老鹰吃小鸡,都市
从红月开始,黑山老鬼,科幻
开局签到荒古圣体,J神,玄幻
夜的命名术,会说话的肘子,都市
牧神记,宅猪,玄幻
第一序列,会说话的肘子,都市
斗破苍穹,天蚕土豆,玄幻
我真没想重生啊,柳岸花又明,都市
斗罗大陆III龙王传说,唐家三少,玄幻
星门,老鹰吃小鸡,玄幻
我的治愈系游戏,我会修空调,悬疑
从今天开始做藩王,背着家的蜗牛,历史
玄界之门,忘语,仙侠
斗罗大陆,唐家三少,玄幻
完美世界,辰东,玄幻
大主宰,天蚕土豆,玄幻
镇妖博物馆,阎ZK,悬疑
汉乡,孑与2,历史
放开那个女巫,二目,奇幻
赘婿,愤怒的香蕉,历史
全球高武,老鹰吃小鸡,都市
平平无奇大师兄,黑夜弥天,轻小说
飞剑问道,我吃西红柿,仙侠
长夜余火,爱潜水的乌贼,玄幻
大王饶命,会说话的肘子,都市
不朽凡人,鹅是老五,仙侠
凡人修仙传,忘语,仙侠
这游戏也太真实了,晨星LL,轻小说
稳住别浪,跳舞,都市
天启预报,风月,奇幻
庆余年,猫腻,历史
深空彼岸,辰东,都市
这个人仙太过正经,言归正传,仙侠
轮回乐园,那一只蚊子,轻小说
大魏读书人,七月未时,仙侠
全职高手,蝴蝶蓝,游戏
凡人修仙之仙界篇,忘语,仙侠
遮天,辰东,仙侠
将夜,猫腻,玄幻
雪鹰领主,我吃西红柿,玄幻
星辰变,我吃西红柿,仙侠
美食供应商,会做菜的猫,都市
我就是不按套路出牌,百分之七,轻小说
盘龙,我吃西红柿,奇幻
亏成首富从游戏开始,青衫取醉,游戏
万界天尊,血红,玄幻
超神机械师,齐佩甲,游戏
斗罗大陆II绝世唐门,唐家三少,玄幻
武动乾坤,天蚕土豆,玄幻
明克街13号,纯洁滴小龙,都市
朕,王梓钧,历史
道君,跃千愁,仙侠
吞噬星空,我吃西红柿,科幻
我的徒弟都是大反派,谋生任转蓬,玄幻
九星毒奶,育,科幻
烂柯棋缘,真费事,仙侠
我有一座冒险屋,我会修空调,悬疑
我欲封天,耳根,仙侠
盗墓笔记,南派三叔,悬疑
从斗罗开始打卡,夏竖琴,轻小说
临渊行,宅猪,玄幻
不科学御兽,轻泉流响,玄幻
大梦主,忘语,仙侠
斗罗大陆IV终极斗罗,唐家三少,玄幻
签到十年，我被绝色师姐曝光了,卿慕寒,玄幻
学霸的黑科技系统,晨星LL,科幻
天道图书馆,横扫天涯,玄幻
黎明之剑,远瞳,科幻
神墓,辰东,玄幻
神秘复苏,佛前献花,仙侠
魔临,纯洁滴小龙,悬疑
视死如归魏君子,平层,轻小说
仙逆,耳根,仙侠
兰若蝉声,扫叶僧,短篇
一世之尊,爱潜水的乌贼,玄幻
我的女友是恶劣大小姐,掠过的乌鸦,轻小说
莽荒纪,我吃西红柿,仙侠
校花的贴身高手,鱼人二代,都市
史上第一混乱,张小花,都市
绍宋,榴弹怕水,历史
极道天魔,滚开,仙侠
异常生物见闻录,远瞳,科幻
明天下,孑与2,历史
原来我是修仙大佬,木下雉水,仙侠
金刚不坏大寨主,徍男,武侠
惊悚乐园,三天两觉,游戏
九鼎记,我吃西红柿,武侠
这个诅咒太棒了,行者有三,都市
斗罗大陆V重生唐三,唐家三少,玄幻
深夜书屋,纯洁滴小龙,悬疑
东晋北府一丘八,指云笑天道1,历史
明朝败家子,上山打老虎额,历史
术师手册,听日,轻小说
回到明朝当王爷,月关,历史
