标题,作者,译者,出版社,价格,评分,简介,详细链接
About Face 4: 交互设计精髓,[美] 艾伦·库伯、[美] 罗伯特·莱曼、[美] 戴维·克罗宁、[美] 克里斯托弗·诺埃塞尔,倪卫国、刘松涛、杭敏、薛菲,电子工出版社,118.00元,8.6,《About Face 4: 交互设计精髓》是《About Face 3：交互设计精髓》的升级版，此次升级把全书的结构重组优化，更加精练和易用；更新了一些适...,https://book.douban.com/subject/26642302/
启示录,[美] Marty Cagan,七印部落,华中科技大学出版社,36.00元,8.5,为什么市场上那么多软件产品无人问津，成功的产品凤毛麟角？怎样发掘有价值的产品？拿什么说服开发团队接受你的产品设计？如何将敏捷方法融入产品开发？过去二十多年，...,https://book.douban.com/subject/5914587/
设计心理学1,[美] 唐纳德·A·诺曼,小柯,中信出版社,42.00元,8.5,如果在旅馆里弄不清楚怎么开水龙头，或者面对不熟悉的炉灶或电灯开关时，即使再聪明的人也会手足无措。唐纳德•A•诺曼大胆地指出，不是你太笨，而是物品的设计没有考...,https://book.douban.com/subject/26102860/
点石成金,[美] 史蒂夫·克鲁克,De Dream',机械工业出版社,39.00元,8.5,可用性设计是Web设计中最重要也是最困难的一项任务。《点石成金》的作者根据自己多年从业的经验，剖析用户的心理，在用户使用的模式、为浏览进行设计、导航设计、主...,https://book.douban.com/subject/1827702/
简约至上,[英] Giles Colborne,李松峰、秦绪文,人民邮电出版社,35.00,8.4,追求简单易用是人类的本性，无论是互联网产品。还是移动应用。亦或其他交互式设计，简单易用始终都是赢得用户的关键。同时，简单易用的程度也与产品寿命的长短密切相关...,https://book.douban.com/subject/5394309/
设计心理学,Donald Norman,梅琼,中信出版社,23.00,8.2,设计心理学，ISBN：9787800739255，作者：（美）唐纳德·A.·诺曼（Donald A. Norman）著；梅琼译；梅琼译,https://book.douban.com/subject/1288844/
用户体验要素,Jesse James Garrett,范晓燕,机械工业出版社,39.00元,8.3,《用户体验要素:以用户为中心的产品设计(原书第2版)》是AJAX之父Jesse James Garrett的经典之作。本书用简洁的语言系统化地诠释了设计、技...,https://book.douban.com/subject/6523997/
破茧成蝶,刘津、李月, ,人民邮电出版社,69.00,8.5,市面上已经有很多专业的用户体验书籍，但解决用户体验设计师在职场中遇到的众多现实问题的图书并不多见。本书从用户体验设计师的角度出发，系统地介绍了其职业生涯中的...,https://book.douban.com/subject/25915629/
交互设计：原理与方法,顾振宇, ,清华大学出版社,88,9.0,传统设计的信条——“形式追随功能”，意味着设计师具备一种由内而外的设计思维方式，首先发现一种有用性，并确定内容或功能（机能），然后设计相适应的交互界面和形式...,https://book.douban.com/subject/26978939/
Don't Make Me Think,Steve Krug, ,New Riders Press,$35.00,8.4,"Five years and more than 100,000 copies after it was first published, it's har...",https://book.douban.com/subject/1440223/
行为设计学(打造峰值体验)(精),〔美 〕奇普·希思、〔美 〕丹·希思,靳婷婷,中信出版社,68.00,7.9,"体验经济时代，除了产品和服务，人们更关注情感体验和自我实现。
据诺贝尔经济学奖得主丹尼尔？卡尼曼研究，人们对一段经历的感受取决于两个时刻：“峰值”（最好或最...",https://book.douban.com/subject/30322083/
认知与设计,Jeff Johnson,张一宁、王军锋,人民邮电出版社,CNY 69.00,8.8,本书语言清晰明了，将设计准则与其核心的认知学和感知科学高度统一起来，使得设计准则更容易地在具体环境中得到应用。涵盖了交互计算机系统设计的方方面面，为交互系统...,https://book.douban.com/subject/25932290/
About Face 3 交互设计精髓,Alan Cooper、Robert Reimann、David Cronin,刘松涛,电子工业出版社,72.00元,8.6,本书是一本数字产品和系统的交互设计指南，全面系统地讲述了交互设计过程、原理和方法，涉及的产品和系统有个人电脑上的个人和商务软件、Web应用、手持设备、信息亭...,https://book.douban.com/subject/3279105/
认知与设计,Jeff Johnson,张一宁,人民邮电出版社,59.00元,8.6,本书语言清晰明了，将设计准则与其核心的认知学和感知科学高度统一起来，使得设计准则更容易地在具体环境中得到应用。涵盖了交互计算机系统设计的方方面面，为交互系统...,https://book.douban.com/subject/6792322/
人人都是产品经理,苏杰, ,电子工业出版社,45.00元,7.6,这是写给“-1到3岁的产品经理”的书，适合刚入门的产品经理、产品规划师、需求分析师，以及对做产品感兴趣的学生，用户体验、市场运营、技术部门的朋友们，特别是互...,https://book.douban.com/subject/4723970/
关键设计报告,[美] 比尔·莫格里奇,许玉铃,中信出版社,218.00元,8.4,《关键设计报告:改变过去影响未来的交互设计法则》讲述了交互设计所有最基本的东西：交互设计的发展历史和由来，交互设计领域里的关键人物，交互设计的基本原则和方法...,https://book.douban.com/subject/6024020/
界面设计模式（第2版）,泰德维尔 (Jenifer Tidwell),蒋芳,电子工业出版社,CNY 119.00,8.5,"模式意味着重用。
好的模式建立在对人与事物的深刻认知之上。
本书开篇即总结了“与人有关”的各类问题，为读者提供了界面设计总体思路上的指引，帮助读者举一反三。...",https://book.douban.com/subject/25716088/
用户体验度量：收集、分析与呈现（第2版）（全彩）,【美】TOM TULLIS（汤姆 图丽斯）、【美】Bill Albert（比尔 艾博特） 著,周荣刚、秦宪刚,电子工业出版社,99.00,8.8,如何量化用户体验对有效提高产品的使用质量至关重要。《用户体验度量：收集、分析与呈现（第2版）（全彩）》详尽地介绍了如何有效且可靠地收集、分析和呈现典型的用户...,https://book.douban.com/subject/26710486/
用户体验的要素,Jesse James Garrett,范晓燕,机械工业出版社,25.00,8.2,"这不是一本关于“怎样做（How-to）”的书。有很多很多讨论如何建设网站的书，这本不是。
这不是一本关于技术的书。在这里你找不到一行代码。
这不是一本有答案...",https://book.douban.com/subject/2297549/
微交互,塞弗 (Dan Saffer),李松峰,人民邮电出版社,35.00元,7.5,平庸的产品与伟大的产品差就差在细节上。作者Dan Saffer将通过这本书展示怎么设计微交互，即位于功能之内或周边的那些交互细节。你的手机怎么静音？你怎么知...,https://book.douban.com/subject/25744600/
简约至上,[英] 贾尔斯·科尔伯恩,李松峰,人民邮电出版社,59.00元,8.6,本书介绍交互式设计的技术与技巧，讲述如何从目标用户的需求和期望出发，结合人类本身的心理特征和行为特点，用简单的方法创建易用、有效且让用户愉悦的设计。书中阐释...,https://book.douban.com/subject/30253370/
设计师要懂心理学,[美] Susan Weinschenk,徐佳、马迪、余盈亿,人民邮电出版社,49.00元,7.5,《设计师要懂心理学》出自国际知名的设计心理学博士Susan M. Weinschenk之手，内容实用，示例清晰，以创造美观实用的设计为宗旨，讨论了设计师必须...,https://book.douban.com/subject/23708491/
Hooked,Nir Eyal, ,CreateSpace Independent Publishing Platform,USD 31.55,8.0,"Why do some products capture our attention, while others flop?
What makes us e...",https://book.douban.com/subject/25808226/
Web表单设计,[美] Luke Wroblewski,卢颐、高韵蓓,清华大学出版社,49.00元,8.6,精心设计的表单，能让用户感到心情舒畅，愉快地注册、付款和进行内容创建和管理，这是促成网上商业成功的秘密武器。本书通过独到、深邃的见解，丰富、真实的实例，道出...,https://book.douban.com/subject/4886100/
精益创业实战,Ash Maurya,张玳,图灵文化发展有限公司,39.00元,8.8,《精益创业实战(第2版)》融合了精益创业法、客户开发、商业模式画布和敏捷／持续集成的精华，讲解精益创业实战法。作者以自己的创业项目为主线，结合大量真实案例，...,https://book.douban.com/subject/20505765/
用户思维+：好产品让用户为自己尖叫,[美] Kathy Sierra,石航,人民邮电出版社,69.00元,8.3,畅销产品与普通产品的本质区别是什么？若没有巨额预算、不爱营销噱头、不开奢华的产品发布会，如何打造可持续成功的产品？本书针对上述问题提出了新颖的观点：用户并不...,https://book.douban.com/subject/27129563/
信息架构,[美] 路易斯·罗森菲尔德、[美] 彼得·莫尔维莱、[美] 豪尔赫·阿朗戈,樊旺斌、师蓉,电子工业出版社,128.00元,8.0,本书的前三个版本都是信息架构领域的开山著作。其中描述了信息组织的普遍和永恒原则，这一原则也适用于不断增长的移动世界。在第4版中，作者运用大量最新的插图和例子...,https://book.douban.com/subject/26809374/
设计心理学,[美]唐纳德·A·诺曼,梅琼,中信出版社,30.00元,8.1,诺曼博士用诙谐的语言讲述了许多我们日常生活中常常会遇到的挫折和危险，帮我们找到了这些问题的关键，即产品设计忽略了使用者在一定情境中的真实需求，甚至违背了认知...,https://book.douban.com/subject/4606471/
破茧成蝶2,刘津、孙睿, ,人民邮电出版社,79,8.3,互联网下半场来袭，从业者需要做出怎样的变化，以应对风云突变的大环境呢？本书主要讲述“用户导向”的设计师，与“业绩导向”的产品经理，在瞬息万变的互联网新时代如...,https://book.douban.com/subject/30276274/
设计心理学,唐纳德·A·诺曼,小柯、张磊、何笑梅、欧秋杏,中信出版社,CNY 168.00,8.6,"《设计心理学1：日常的设计》
如果在旅馆里弄不清楚怎么开水龙头，或者面对不熟悉的炉灶或电灯开关时，即使再聪明的人也会手足无措。唐纳德A诺曼大胆地指出，不是你...",https://book.douban.com/subject/26742341/
设计的125条通用法则（全本）,［美］威廉·立德威尔（William Lidwell）、［美］克里蒂娜·霍顿（Kritina Holden）、［美］吉尔·巴特勒（Jill Butler）,陈丽丽、吴奕俊,中国画报出版社,168,9.5,《设计的125条通用法则》自2003年初次出版以来，经数次修订，被翻译成法语、德语、西班牙语、葡萄牙语、意大利语、荷兰语、捷克语、克罗地亚语、俄语、日语、韩...,https://book.douban.com/subject/30475363/
通用设计方法,贝拉·马丁（Bella Martin）、布鲁斯·汉宁顿（Bruce Hanington）,初晓华,中央编译出版社,100.00元,8.3,"*揭开复杂、昂贵、费时的用户研究方法的神秘面纱
*创建跨学科设计团队共享
*视觉呈现极具说服力的实例介绍
*介绍运用这些设计方法有助于优化设计研究策略的最佳...",https://book.douban.com/subject/24869618/
Designing Interactions,Bill Moggridge, ,MIT Press,GBP 30.95,9.0,Digital technology has changed the way we interact with everything from the ga...,https://book.douban.com/subject/1894206/
移动应用UI设计模式（第2版）,[美] Theresa Neil,田原,人民邮电出版社,79.00元,8.1,《移动应用UI设计模式（第2版）》是畅销手册的扩容版，上一版分10大类分别介绍了70种移动应用设计模式，深受读者欢迎。这一版分11 大类介绍了时下安卓、iO...,https://book.douban.com/subject/26296679/
用户体验面面观,[美] 库涅夫斯基(Mike Kuniavsky),汤海,清华大学出版社,69.00,7.7,这是一本专注于用户研究和用户体验的经典读物，同时也是一本容易上手的实战手册，从实践者的角度，着重讨论和阐述了用户研究的重要性、主要的用户研究方法和工具，同时...,https://book.douban.com/subject/4818690/
Web界面设计,Bill Scott、Theresa Neil,李松峰,电子工业出版社,80.00元,8.7,当前的Web已经进入崭新的时代！本书涵盖了在基于独一无二的Web环境下、在创建丰富体验的过程中设计Web界面的最佳实践、模式和原理。UI专家Bill Sco...,https://book.douban.com/subject/3821157/
交互设计沉思录,Jon Kolko,方舟,机械工业出版社华章公司,49.00元,7.8,本书由交互设计领域的思想领袖Jon Kolko所著，是交互设计领域的里程碑之作。本书完美地将当代设计理论和研究成果融入交互设计实践中，将对交互设计的阐释和分...,https://book.douban.com/subject/19934344/
决胜UX,[美] Jaime Levy,胡越古,人民邮电出版社,59.00元,7.9,这本书展示了一个实践用户体验策略的可靠框架。这套框架特别为开发创新型产品设计，包含众多实用技巧。具体内容分为11章：第1章确定用户体验策略是什么；第2章确定...,https://book.douban.com/subject/26899670/
体验设计白书,张玳, ,人民邮电出版社,49.00元,8.6,本书讲述体验设计理念。主要内容包括：体验的定义和设计原则，体验设计的流程及具体实例，体验设计过程中会用到的工具、遇到的主要问题。,https://book.douban.com/subject/26857698/
用户体验可视化指南,James Kalbach,UXRen翻译组,人民邮电出版社,79.00,8.4,第一部分，作者阐明了用户体验可视化的基础和价值，以及如何赋能企业和组织的战略规划。我们通过可视化方式将视野放的更宽，来帮助我们去重新审视所面临竞争者、重新审...,https://book.douban.com/subject/30181078/
设计心理学2,[美] 唐纳德•A•诺曼,张磊,中信出版社,42.00元,7.8,在本书中，诺曼博士探讨了为什么我们的生活需要复杂，而不是简单，而设计促成了复杂生活的实现。作者以清晰而又轻松的行文，为读者讲解了为什么我们渴望的不是简单。当...,https://book.douban.com/subject/26424608/
About Face 3：交互设计精髓,[美] 艾伦·库伯、[美] 罗伯特·瑞宁、[美] 大伟·克洛林,刘松涛,电子工业出版社,98.00元,8.8,《About Face3交互设计精髓(经典再现软精装版)》是一本数字产品和系统的交互设计指南，全面系统地讲述了交互设计过程、原理和方法，涉及的产品和系统有个...,https://book.douban.com/subject/10557282/
设计方法与策略,[荷]代尔夫特理工大学工业设计工程学院,倪裕伟,华中科技大学出版社,89.9,8.3,"情感设计创始人唐纳德A.诺曼、创新工场用户体验总监吴卓浩推荐。荷兰设计典范，50年经验积累。彩印、精装。
大型网络公开课程“代尔夫特设计方法”（Delft ...",https://book.douban.com/subject/25927569/
为真实的世界设计,[美] 维克多·帕帕奈克,周博,中信出版社,88.00元,8.6,《为真实的世界设计》是美国设计理论家维克多·帕帕奈克最重要的著作。在这本当时颇具争议的著作中，帕帕奈克提出自己对于设计目的性的新看法，即设计应该为广大人民服...,https://book.douban.com/subject/19912141/
步步为赢,董尚昊, ,人民邮电出版社,79.8,8.3,本书以互联网公司中交互设计的完整流程为基础，涵盖了设计师在设计方案过程中的所有环节。本书将交互设计理论知识和设计方法与真实案例结合，系统介绍应用性较强的交互...,https://book.douban.com/subject/34969052/
触动人心,Josh Clark,包季真,电子工业出版社,79.00元,8.4,"本书是《Tapworthy: Designing Great iPhone Apps》的中文翻译版。
可能你设计网站产品或软件界面早已得心应手，可是遇到了i...",https://book.douban.com/subject/6864391/
Web信息架构(第3版),Peter Morville、Louis Rosenfeld,陈建勋,电子工业出版社,85.00,8.2,本书涵盖了信息架构基本原理和实践应用的方方面面。全书共7个部分，包括信息架构概述、信息架构的基本原理、信息架构的开发流程和方法论、信息架构实践、信息架构与组...,https://book.douban.com/subject/3169342/
点石成金,[美] 克鲁格 (Steve Krug),蒋芳,机械工业出版社,CNY 59.00,8.2,《点石成金：访客至上的Web和移动可用性设计秘笈（原书第3版）》是一本关于Web设计原则而不是Web设计技术的书。《点石成金：访客至上的Web和移动可用性设...,https://book.douban.com/subject/26313852/
规律与逻辑,孔雅轩, ,人民邮电出版社,99.00元,评价人数少于10人,暂无简介,https://book.douban.com/subject/35021011/
亲爱的界面,[瑞士] Lukas Mathis,王军锋、杨蕾、曾小进,人民邮电出版社出版,49.00元,8.0,《亲爱的界面——让用户乐于使用、爱不释手》主要介绍如何设计出具有可用性的应用程序和网站，不但让用户乐于使用，而且令其爱不释手。可用性是设计大厦的基石，作者详...,https://book.douban.com/subject/20278578/
